intake/cloned-repos/pallets/itsdangerous/.devcontainer/devcontainer.json	644	441	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.devcontainer/on-create-command.sh	755	445	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.editorconfig	644	233	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.git/HEAD	644	21	1783970188.5206029390
intake/cloned-repos/pallets/itsdangerous/.git/config	644	309	1783970188.5206029390
intake/cloned-repos/pallets/itsdangerous/.git/index	644	4936	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.git/logs/HEAD	644	186	1783970188.5206029390
intake/cloned-repos/pallets/itsdangerous/.git/logs/refs/heads/main	644	186	1783970188.5206029390
intake/cloned-repos/pallets/itsdangerous/.git/logs/refs/remotes/origin/HEAD	644	186	1783970188.5206029390
intake/cloned-repos/pallets/itsdangerous/.git/objects/pack/pack-06f48aa38d5ca5f4a55ebdbae0fd443034c109f1.idx	444	2780	1783970188.5006029410
intake/cloned-repos/pallets/itsdangerous/.git/objects/pack/pack-06f48aa38d5ca5f4a55ebdbae0fd443034c109f1.pack	444	95240	1783970188.5006029410
intake/cloned-repos/pallets/itsdangerous/.git/objects/pack/pack-06f48aa38d5ca5f4a55ebdbae0fd443034c109f1.rev	444	296	1783970188.5126029400
intake/cloned-repos/pallets/itsdangerous/.git/packed-refs	644	112	1783970188.5206029390
intake/cloned-repos/pallets/itsdangerous/.git/refs/heads/main	644	41	1783970188.5206029390
intake/cloned-repos/pallets/itsdangerous/.git/refs/remotes/origin/HEAD	644	30	1783970188.5206029390
intake/cloned-repos/pallets/itsdangerous/.git/shallow	644	41	1783970188.3646029560
intake/cloned-repos/pallets/itsdangerous/.github/ISSUE_TEMPLATE/bug-report.md	644	643	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.github/ISSUE_TEMPLATE/config.yml	644	339	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.github/ISSUE_TEMPLATE/feature-request.md	644	430	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.github/pull_request_template.md	644	822	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.github/workflows/lock.yaml	644	682	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.github/workflows/pre-commit.yaml	644	983	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.github/workflows/publish.yaml	644	1568	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.github/workflows/tests.yaml	644	1794	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.gitignore	644	74	1783970188.5246029380
intake/cloned-repos/pallets/itsdangerous/.pre-commit-config.yaml	644	629	1783970188.5246029380
